"동별(1)",동별(2),2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05
"동별(1)",동별(2),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",소계,4463385,9668008,4672170,4995838,9426404,4566299,4860105,241604,105871,135733,4465391,9667463,4670224,4997239,9422710,4563512,4859198,244753,106712,138041,4467999,9664963,4668113,4996850,9418885,4560702,4858183,246078,107411,138667
"합계",종로구,72679,152212,72819,79393,141060,68170,72890,11152,4649,6503,72644,152013,72711,79302,140891,68079,72812,11122,4632,6490,72584,151745,72557,79188,140601,67923,72678,11144,4634,6510
"합계",중구,63862,131390,63576,67814,120963,58699,62264,10427,4877,5550,64081,131772,63679,68093,121250,58806,62444,10522,4873,5649,64260,131998,63779,68219,121346,58845,62501,10652,4934,5718
"합계",용산구,109735,232482,112608,119874,217756,104640,113116,14726,7968,6758,109712,232311,112532,119779,217611,104580,113031,14700,7952,6748,109717,232258,112506,119752,217438,104495,112943,14820,8011,6809
"합계",성동구,133513,287240,139171,148069,280240,136233,144007,7000,2938,4062,133503,287261,139093,148168,279980,136059,143921,7281,3034,4247,133551,286951,138945,148006,279760,135931,143829,7191,3014,4177
"합계",광진구,169787,350925,167983,182942,336801,162209,174592,14124,5774,8350,169725,351038,167983,183055,336558,162071,174487,14480,5912,8568,169950,351137,167971,183166,336580,162020,174560,14557,5951,8606
"합계",동대문구,171140,354884,172178,182706,337574,165933,171641,17310,6245,11065,171288,355244,172196,183048,337692,165936,171756,17552,6260,11292,171388,355405,172202,183203,337680,165868,171812,17725,6334,11391
"합계",중랑구,187898,389928,191122,198806,385003,189186,195817,4925,1936,2989,187977,389815,191046,198769,384867,189099,195768,4948,1947,3001,188020,389627,190973,198654,384650,189019,195631,4977,1954,3023
