"시점","자치구별(1)",자치구별(2),종합,아파트
"1986","서울시",소계,34,20.1
"1986","서울시",강북구,47.6,28.9
"1986","서울시",강남구,25.6,17.1
"1987","서울시",소계,34.7,21.1
"1987","서울시",강북구,48.2,28.8
"1987","서울시",강남구,26.3,18.1
"1988","서울시",소계,37.9,25
"1988","서울시",강북구,49.6,33.5
"1988","서울시",강남구,30.3,21.5
"1989","서울시",소계,44.2,29.7
"1989","서울시",강북구,56.9,40.5
"1989","서울시",강남구,35.8,25.5
"1990","서울시",소계,54.9,40.9
"1990","서울시",강북구,67.3,53.6
"1990","서울시",강남구,46.2,35.4
"1991","서울시",소계,53.7,39
"1991","서울시",강북구,65.9,51.8
"1991","서울시",강남구,45.1,33.6
"1992","서울시",소계,50.8,37.3
"1992","서울시",강북구,61.5,50.5
"1992","서울시",강남구,43.2,31.8
"1993","서울시",소계,49.2,36.3
"1993","서울시",강북구,59.9,49
"1993","서울시",강남구,41.7,30.9
"1994","서울시",소계,49.4,36.7
"1994","서울시",강북구,59.7,48.8
"1994","서울시",강남구,42,31.6
"1995","서울시",소계,49.1,36.7
"1995","서울시",강북구,59.3,48.4
"1995","서울시",강남구,42,31.7
"1996","서울시",소계,49.9,38.3
"1996","서울시",강북구,59.7,49.8
"1996","서울시",강남구,43,33.2
"1997","서울시",소계,50.8,40.3
"1997","서울시",강북구,60.3,52.2
"1997","서울시",강남구,44.3,35.1
"1998","서울시",소계,44.1,34.4
"1998","서울시",강북구,53.6,43.5
"1998","서울시",강남구,37.5,30.3
"1999","서울시",소계,46.6,38.7
"1999","서울시",강북구,54.6,47.1
"1999","서울시",강남구,40.9,35
"2000","서울시",소계,48,40.3
"2000","서울시",강북구,55.4,48.3
"2000","서울시",강남구,42.7,36.7
"2001","서울시",소계,54.2,48.1
"2001","서울시",강북구,59.7,55.3
"2001","서울시",강남구,50.2,44.8
"2002","서울시",소계,66.4,62.9
"2002","서울시",강북구,69.4,67.8
"2002","서울시",강남구,64,60.6
"2003","서울시",소계,63,61.2
"2003","서울시",종로구,70.6,64.2
"2003","서울시",중구,70.5,69.5
"2003","서울시",용산구,50.5,57.8
"2003","서울시",성동구,69.7,58.6
"2003","서울시",광진구,63.1,67.4
"2003","서울시",동대문구,67.8,61
"2003","서울시",중랑구,62.5,64.5
"2003","서울시",성북구,63.2,66.3
"2003","서울시",강북구,60.2,58.2
"2003","서울시",도봉구,63.8,62.1
"2003","서울시",노원구,53.7,52.9
"2003","서울시",은평구,61.9,66.5
"2003","서울시",서대문구,70.5,63.4
"2003","서울시",마포구,68.1,60.8
"2003","서울시",양천구,62,64.6
"2003","서울시",강서구,64.2,63
"2003","서울시",구로구,60.9,60.3
"2003","서울시",금천구,63.8,58.7
"2003","서울시",영등포구,62.2,58.9
"2003","서울시",동작구,60.4,61
"2003","서울시",관악구,65.4,61.3
"2003","서울시",서초구,63.2,58.2
"2003","서울시",강남구,64.6,63
"2003","서울시",송파구,63.6,66.7
"2003","서울시",강동구,68,65
"2004","서울시",소계,61.9,60.6
"2004","서울시",종로구,70.7,64.9
"2004","서울시",중구,70.7,69.3
"2004","서울시",용산구,52.9,62
"2004","서울시",성동구,72,61.5
"2004","서울시",광진구,62.3,69.1
"2004","서울시",동대문구,65.9,61.5
"2004","서울시",중랑구,60.1,63.1
"2004","서울시",성북구,62.3,65.2
"2004","서울시",강북구,60.3,57
"2004","서울시",도봉구,62,61.4
"2004","서울시",노원구,51.9,51.3
"2004","서울시",은평구,62.2,67.5
"2004","서울시",서대문구,68.5,63.7
"2004","서울시",마포구,63.5,59.9
"2004","서울시",양천구,61.2,63.2
"2004","서울시",강서구,60.5,61.8
"2004","서울시",구로구,60,59.5
"2004","서울시",금천구,62.5,59.4
"2004","서울시",영등포구,62.7,59.6
"2004","서울시",동작구,60.9,60.7
"2004","서울시",관악구,62.8,61.1
"2004","서울시",서초구,62.3,57.4
"2004","서울시",강남구,63.5,61.1
"2004","서울시",송파구,62.1,66.2
"2004","서울시",강동구,66.9,63.8
"2005","서울시",소계,65.4,65.8
"2005","서울시",종로구,73.3,68.5
"2005","서울시",중구,72.8,73.5
"2005","서울시",용산구,58.4,71.2
"2005","서울시",성동구,77.5,68.5
"2005","서울시",광진구,63.6,72.1
"2005","서울시",동대문구,66.4,63.4
"2005","서울시",중랑구,59.5,62.5
"2005","서울시",성북구,63.6,65.6
"2005","서울시",강북구,61.6,56.9
"2005","서울시",도봉구,62.9,63
"2005","서울시",노원구,52.7,52.3
"2005","서울시",은평구,65.5,69.7
"2005","서울시",서대문구,68.7,63.7
"2005","서울시",마포구,66.2,63.9
"2005","서울시",양천구,67.3,70.9
"2005","서울시",강서구,60.9,63
"2005","서울시",구로구,61.9,62.6
"2005","서울시",금천구,63.4,60.8
"2005","서울시",영등포구,68.9,67.3
"2005","서울시",동작구,64.5,64.9
"2005","서울시",관악구,63.3,64.5
"2005","서울시",서초구,74.6,72.7
"2005","서울시",강남구,72.3,72.8
"2005","서울시",송파구,70.9,79.6
"2005","서울시",강동구,73.8,72.9
"2006","서울시",소계,77.7,81.2
"2006","서울시",종로구,79.9,76.4
"2006","서울시",중구,80.4,86.8
"2006","서울시",용산구,79.2,91.6
"2006","서울시",성동구,89.4,84.3
"2006","서울시",광진구,73.1,91.6
"2006","서울시",동대문구,71.9,69.7
"2006","서울시",중랑구,66.7,69.3
"2006","서울시",성북구,72.9,75.9
"2006","서울시",강북구,67.7,64.5
"2006","서울시",도봉구,70,71.3
"2006","서울시",노원구,63.6,64
"2006","서울시",은평구,79.2,81.5
"2006","서울시",서대문구,75.6,72
"2006","서울시",마포구,78.1,81.7
"2006","서울시",양천구,89.8,98.3
